"paper_id","name","answer","title","abstract"
"D1-66","Oleg Smirnov","Rhodes University & South African Radio Astronomy Observatory","Radiopadre: remote, interactive, zero-admin visualization of data pipeline products","Modern [not only radio] astronomers are coming to terms with being separated from their data and pipelines. Sheer data size alone dictates that data reductions are hardly ever “local” in any sense, but rather have to run on a big node or cluster somewhere remote, with SSH gateways and network latency in between. The new work patterns of the covid-19 pandemic only exacerbate this separation. At the same time, the complexity of new telescopes and pipelines results in a far greater volume and variety of intermediate diagnostics and final data products. The following scenario is becoming familiar: my pipeline run has finished (or crashed), it’s produced 300 log files, 200 intermediate plots, 50 FITS images, and a dozen HTML reports -- on a remote cluster node, which doesn’t even have a basic image viewer installed (and which network lag would have made difficult to use in any case). How do I make sense of all this, without transferring gigabytes of products to my laptop or local workstation first?

Radiopadre (Python Astronomy Data Reductions Examiner, https://github.com/ratt-ru/radiopadre) provides (at least part of) the answer. It is a combination of a client-side script, Docker or Singularity images, a Jupyter Notebook framework, and integrated browser-based FITS viewers (CARTA and JS9) which allows for quick visualization of remote data products. Radiopadre is virtually zero-admin, in the sense that it requires nothing more than a web browser on the client side, an SSH connection, and Docker or Singularity support on the remote end. It allows for both interactive (exploratory) visualization via a Jupyter Notebook, as well as the development of rich, extensive report-style notebooks tuned to the outputs of a particular pipeline.

The demo will showcase the interactive visualization capabilities of Radiopadre, using the output of various MeerKAT imaging pipelines as a working example."
"D2-109","Demitri Muna","University of Texas, San Antonio","Introducing the Trillian Framework and Science Data Descriptors","This demo is a hands on introduction to the newly released Trillian framework. The Python package and supporting API will allow astronomers to retrieve data by simply describing it. For example, consider the statement ""all Galex images within two square degrees of ra=12°34’42”, dec=47°22’52” ”. This description completely and unambiguously defines a known set of data. The Trillian framework will allow one to directly work with data from nothing more than such a description, regardless of where the data is, what interface is required to retrieve it, what files are needed, and what format it is in. The demonstration that can be followed along with will show how multiple data sets can be accessed and how to contribute to the project to add more, plus how this framework is designed to scale from a laptop to a full cloud computing solution. A detailed description of scientific data descriptors will be also presented, a new scheme for addressing data that is one of the components of Trillian but is useful independently outside of the framework. Finally, a brief demonstration will be given of Cornish, a new Python interface around the Starlink AST library that is used to work with regions on a sphere."
"D2-29","Guillaume Eynard Bontemps","CNES","Pangeo Data Analysis Platform at CNES and Astronomical Use Cases","Pangeo is first a scientific community, but also a Python software ecosystem and a platform that can be deployed on many infrastructures. Its goal is to provide means ways to make scientific research and programming easier on big datasets coming from simulations ran on HPC clusters (climatic model) or from sensors like observation satellites.

In this demo or talk, we will see how a scientist or an engineer will be able to analyze and process huge data volumes interactively, in a few lines of code, using the software components that are at the heart of Pangeo: Jupyter, Dask and Xarray.

These main pieces of software will be presented:
- Jupyter is the main graphical interface, it advantageously replaces a terminal.
- Dask allows scaling computations and data analysis through many nodes or virtual machines.
- Xarray gives a high level representation of multi-dimensional scientific data.  

We will also describe the main possibilities for deploying a Pangeo platform: your personal laptop, a public cloud provider or an HPC cluster.

Finally, we will demonstrate Pangeo stack usage through some concrete use cases:
- Statistic computations and visualisation of Gaia data catalog.
- A multi-temporal analysis on Sentinel 2 satellite tiles, in order to watch the evolution of the NDVI (Normalized Difference Vegetation Index) on its pixels."
"D7-114","Cédric Foellmi (@arcsecond_io)","F52 Technologies","Arcsecond.io: an hybrid commercial/citizen-science project for astronomical observations","Arcsecond.io is an online SaaS platform aiming at offering cloud services for astronomers, collaborations and observatories. A significant part of it is public and free, with some pro tools that have been collected on the web and rewritten using modern techniques. It is backed by a rich backend of REST APIs, which offers a large number of free and public endpoints too.

However, Arcsecond.io is also a commercial venture, proposing cloud services dedicated to astronomical observations. In particular, small observatories can benefit from very competitive data storage dedicated to astronomical data, as well as sophisticated management tools to handle Night Logs, Datasets, Data Packages etc.

This focus demo will attempt to show parts of Arcsecond.io: Pro Tools, iObserve on the web with Startrack satellite checks, as well as Data Storage, Collaborations and Observatory Portals."
"D8-132","Simon Perkins","South Africa Radio Astronomy Observatory","Parallel Radio Astronomy Application Development with Dask and Numba","Dask is a lightweight Python parallelisation and distribution framework that seamlessly integrates with the PyData ecosystem to provide a rich framework for developing Parallel and Distributed Radio Astronomy Applications.

In this demo, we will demonstrate how to create a multi-core radio astronomy application using a combination of Dask and Numba. 

Time permitting, we aim to cover the following topics:

Dask

* General compute graph concepts.
* The Dask Array abstraction and its relation to NumPy arrays
* Dask Array chunk size effects on application memory and performance.

dask-ms 

* Exposing CASA Tables as xarray Datasets and Table Columns as Dask Arrays
* Choosing appropriate chunking strategies
* Updating and writing CASA Tables from Dask Arrays

Numba

* JIT-compiling Python code to speeds similar to the equivalent C/Fortran code.
* The relation between performance, input size and dropping the Python Global Interpreter Lock.
* Wrapping accelerated Numba code in Dask for multi-core performance.

Dask Distributed

* Scaling a Dask application up to a High Performance Computing cluster.
* Management of the cluster with dask_jobqueue.
* Annotation and manual scheduling of specific tasks for optimal placement and performance."
"H10-232","William Pence","NASA's HEASARC","CFITSIO - 3 decades of collaborative software development","CFITSIO was originally developed at NASA’s High Energy Astrophysics Science Archive Research Center (HEASARC) in 1991 as a simple set of C and Fortran callable subroutines for reading and writing keywords and data arrays in FITS format disk files.  This enabled the HEASARC’s data analysis software to directly process the FITS files in its archive.  Most other astronomical data analysis systems at that time required that FITS format files be imported into a local data format for processing, and the final data products then had to be translated back into FITS format before placing them in the public archive.

The ADASS conferences, which coincidentally also started in 1991, directly led to the development of many major enhancements in the CFITSIO software over the following decades.  This talk will describe some of the collaborations with more than 70 contributors, many of whom have been participants in the ADASS conferences over the years. This provides a good example of the benefits of open source software development."
"I10-39","Kelle Cruz","CUNY Hunter College","Astropy","TBD"
"I1-159","Vandana Desai","Caltech/IPAC-IRSA","Enabling next-generation science investigations with the NASA Astrophysics Archives","TBD"
"I2-60","Giuliano Taffoni","INAF - OATs","All the shades of the Cloud","Cloud computing is a powerful technology that in the last decades revolutionized computing and storage in particular for Industry and Private Sectors. Today, large investments are on-going to build public Cloud Infrastructure at National or International level (e.g. the European Open Science Cloud Initiative). Also, scientists are approaching commercial and public Clouds at different scales: single researchers test the clouds for small research projects, at the same time large international collaborations are evaluating Cloud technology to collect, process, analyze, archive and curate their data. 
The experience of large scientific instruments in the last years demonstrates how experiments are critically dependent on computing, data processing and storage infrastructures and our ability to utilise them through codes and algorithms.  This will become more and more important with the advent of new class instruments (e.g. SKA, CTA, LSST, EUCLID)  where new computational challenges will be faced. This will lead to the use of new infrastructures where exascale HPC and Clouds will converge to answer new challenges of (Big-) data analysis and (Big-) data analytics (HPDA).
New technologies (e.g. containerization) are driving the convergence of these “worlds” and the advent of science platforms as mean to access data, storage and computing (but also software and algorithms) is facilitating the use of cloud at different scales.

In this talk, I will discuss the actual use of  Cloud in Astrophysics at different scale using some examples and I will present future trends and possibilities that the use of cloud computing and its convergence with HPC will open: from HTC to HPDA, from scientific computing to data analytics."
"I3-20","Samuel Farrens","CEA Paris-Saclay, CosmoStat","PySAP: From Galaxies to Brains and Beyond","During this talk I will present the PySAP (Python Sparse data Analysis Package) package, a multidisciplinary image processing tool developed in collaboration between astrophysicists and biomedical imaging experts at CEA Paris-Saclay through the COSMIC project. I will provide some background on the core mathematical tools implemented in PySAP as well as demonstrating some of the diverse applications such as galaxy image deconvolution and magnetic resonance image reconstruction. I will also endeavour to relate how we managed the development of this package. Finally, I will conclude by sharing our plans for the future of PySAP and how this may impact other imaging domains."
"I5-175","Kai Polsterer","HITS gGmbH","From Photometric Redshifts to Improved Weather Forecasts: an interdisciplinary view on machine learning in astronomy","The amount, size, and complexity of astronomical data-sets is growing rapidly in the last decades. Now, with new technologies and dedicated survey telescopes, the databases are even growing faster. Besides dealing with poly-structed and complex data, sparse data has become a field of growing scientific interest. By applying technologies from the fields of computer sciences, mathematics, and statistics, astronomical data can be accessed and analyzed more efficiently.

A specific field of research in Astroinformatics is the estimation of the redshift of extra-galactic sources, a measure of their distance, by just using sparse photometric observations. Observing the full spectroscopic information that would be necessary to directly measure the redshift, would be too time consuming. Therefore building accurate statistical models is a mandatory step, especially when it comes to reflecting the uncertainty of the estimates. Statistics and especially weather forecasting has introduced and utilized proper scoring rules and especially the continuous ranked probability score to characterize the calibration as well as the sharpness of predicted probability density functions.

This talk presents what we achieved when using proper scoring rules to train deep neural networks and to evaluate the model estimates. We present how this work led from well calibrated redshift estimates to an improvement in statistical post-processing of weather forecast simulations. The presented work is an example of interdisciplinarity in data-science and how methods can bridge between different fields of application."
"I6-25","K. Azalee Bostroem","University of California, Davis","Developing a Data Carpentry Curriculum for the Astronomical Community","As the astronomical community moves into an era of big data, the paradigm of data processing is changing. We are transitioning from local end-to-end data processing (from taking or simulating observations to publishing the data) to retrieving pre-processed large datasets through database queries. The growing importance of such transactions are evident with current projects such as Tess, Gaia, SDSS, ZTF, HST, and Illustris and will become a necessity to fully utilize the next generation of astronomical surveys, telescopes, and simulations.  Interaction with these databases and visualization of these complex datasets will be essential skills. However, these skills are not part of the standard astronomical curriculum and training, thus far, has been focused on tools specialized to individual projects. In this talk, I will discuss my work developing an open source Data Carpentry curriculum for Astronomy, that builds on the software skills taught in the Software Carpentry curriculum. I will highlight key aspects of this work that have made it a success thus far, including funding for lesson development, drawing on the existing infrastructure and personal resources of the Carpentries,  building a core development team with experience in astronomy, education, and industry, and creating a broader network across the astronomical community that provided input at key points throughout the development process."
"I6-265","Matthew J Graham","California Institute of Technology","What did we get right? Lessons learned from the first 300 million alerts of ZTF","The Zwicky Transient Facility (ZTF) has been serving transient alerts to the astronomical community for 2.5 years and it has just passed the 300 million mark, announcing the detection of almost 5,000 supernovae, 25 tidal disruption events, numerous asteroids, and other astrophysical phenomena in that time frame. The Rubin Observatory will reach this milestone within the first three months of alert generation and efforts are underway to ensure that the necessary infrastructure for alert dissemination, reception, and response is in place. We are building, however, on concepts envisaged well over a decade ago and in this talk, I will review the trials and tribulations of ZTF in seeding such a framework and consider what might we have done differently. In particular, our concerns regarding scale and followup capability merit revisiting and potentially a new vision developed of what the landscape might actually look like during the era of LSST operations."
"I6-31","Dmitry Duev","Caltech","Machine Learning for the Zwicky Transient Facility","Astronomy, as many other branches of science, has been experiencing an explosive increase in the data volumes, doubling every two years or so. At the forefront of this revolution, the Zwicky Transient Facility (ZTF) – a robotic optical sky survey currently in operation at the Palomar Observatory in Southern California – performs accurate measurements of over a billion of astronomical objects and registers ~millions of transient events (such as, for example, supernova explosions, brightness changes in variable stars, or asteroid detections -- distributed to the world in real time via alert streams) in the dynamic sky every (clear) night. Machine and deep learning play an essential role in making sense of these vast quantities of data. In my talk, I will discuss the wide range of applications of machine learning in ZTF, including the astrophysical object classification, identification of near-Earth objects, detection and localization of comets, and cataloging/studying the source variability."
"I7-21","Becky Smethurst","Christ Church, University of Oxford","Galaxy Zoo & The Zooniverse - citizen science as a powerful tool in the age of big data","The success of the citizen science project Galaxy Zoo, launched back in 2007, has demonstrated the impact that hundreds of thousands of volunteers can make in a field of research. Whilst a powerful science communication and outreach tool, citizen science also allows for the classification of huge data sets in the era of ‘big data’. I will review some of the latest results from the Galaxy Zoo project, including re-evaluating Hubble’s galaxy classification system and some of the unexpected objects discovered. The success of Galaxy Zoo, saw the launch of the Zooniverse platform, now hosting thousands of citizen science projects across hundreds of disciplines; from zoology to history. Even as the pace of development of machine learning continues to increase, I will argue that human classification will still have its place in science in the years to come, with particular focus on the impact in astronomy with the advent of the LSST."
"I8-105","Eugene Magnier","University of Hawaii","The Pan-STARRS IPP : Lessons Learned and Looking Forward","The Pan-STARRS Image Processing Pipeline (IPP) has been running on
data from the Pan-STARRS telescopes for a dozen years.  To date, the
system has processed over 1.5 million exposures representing more than
2 Petapixels (2e15 pixels).  The IPP operates on data from both
Pan-STARRS telescopes, and has also been used to process CFHT Megacam
and Subaru HSC images.  In this talk, I will discuss the successes and
lessons learned from a decade of large-scale data processing, and
highlight our plans for future improvements."
"I8-57","Melanie Krips","IRAM","NOEMA: How 1Million lines of code make the optically dark universe visible","The upgrade of the former IRAM Plateau de Bure Interferometer toward
the NOrthern Extended Millimeter Array (NOEMA) by doubling not only
the number of antennas from 6 to 12 but also quadrupling the
instantaneous bandwidth with a next-generation correlator has
necessitated a large number of software upgrades, from antenna control
over calibration, monitoring and reduction pipelines, to new mapping
and analytical tools. In this talk, the major milestones and
challenges 
of this multi-layer and cross discipline expansion will be presented. 
The adaptation to even bigger and more sensitive data coming from 
powerful instruments such as NOEMA paves the way for a major step 
forward in mapping the optically invisible universe."
"I9-23","Fernique Pierre","Observatoire astronomique de Strasbourg, Université de Strasbourg","Data Interoperability - the CDS experience","""Provide astronomers with simple, efficient and rapid means of accessing the reference data (bibliography, catalogues, object identifiers, images, spectra, time series, ...) necessary for their research"". Since its creation in the early 1970s, the Strasbourg astronomical Data Center (CDS) has addressed this challenge. The context and technologies have evolved from post mail to touchscreen devices, but the challenge remains: identify, collect, homogenize, describe data, and then redistribute it so that the knowledge can be re-used. What is called nowadays: the FAIR principles. At the heart of this challenge: the data interoperability. Standards, data serialization, metadata, dictionaries, tools, languages, semantics ... Based on our experience at CDS, we will try to identify the good, but also the bad, of the various interoperability solutions that have marked the evolution of CDS: those that work, those that failed. We will draw some lessons from the past experiences, and try to consider what the interoperability might enable for future astronomical projects."
"O10-53","Henrike Fleischhack","Catholic University of America/NASA Goddard Space Flight Center/CRESST II","The Multi-Mission Maximum Likelihood Framework threeML: Multi-wavelength astronomy in practice","The Multi-Mission Maximum Likelihood framework (threeML) is a flexible python-based framework for multi-wavelength data analysis in astronomy. ThreeML allows joint likelihood fits of data recorded by many different instruments, from radio to gamma rays. This is achieved by encapsulating data access into instrument-specific plugins, leaving the rest of the analysis agnostic of the data format. In this talk, I will outline threeML's design and major components, with a focus on the modeling language (astromodels) and the data-access plugins. I will show use cases and analysis examples, as well as explain how to add new plugins for instruments/data formats that threeML does not yet support."
"O1-112","Lloyd Harischandra","Australian Astronomical Optics - Macquarie University","Realtime Data Transferring and Processing from Remote Telescopes Using Apache NiFi and MongoDB","Data central at AAO-MQ provides data archiving and hosting solutions to several external telescopes such as Anglo Australian Telescope(AAT) and Huntsman Telephoto Array in Australia. Up until recently AAT raw data had been manually processed and transported to be archived at AAO-MQ for the astronomical community to access. This was time consuming and took extra resources to manage the data flow. In this talk, we will discuss how we automated the data transfer and archiving using Apache NiFi and MongoDB resulting in raw data being available for the astronomers to query in real-time as they are produced by the telescope.

We examine the usability, flexibility and scalability of Apache NiFi and various processors and controllers available to collect, process and move data across multiple data points. We will discuss great features available in NiFi especially for data provenance, guaranteed delivery and loss tolerance. We will also discuss what flow files and flow templates are, the role of the Data Flow Manager and how to schedule processors. In addition to that we will show you how to secure site-to-site data transferring and utilise NiFi clustering to balance the load.

Lastly we will show how survey teams can write their custom data processing tasks and data reduction pipelines in their favourite language(Python, R etc.) and integrate them into the data flow to be automatically processed and ingested into their favourite data stores for further processing or public availability."
"O1-115","Nick Cox","ACRI-ST","Development of Scientific Data Applications for Science Cloud Platforms","In the era of big data and cloud storage and computing, new ways for scientists to approach their research are emerging, which impact directly how science progresses and discoveries are made. For astrophysics and particle physics, initiatives such as ESA Datalabs and ESCAPE aim to offer science data processing and analysis platforms to researchers to help them explore increasingly big data sets generated by space missions and large facilities. In this context there is also a need to provide sophisticated and targeted science data applications to be deployed in different cloud environments.

We will present ongoing inter-linked projects that address this need for cloud-deployed applications for the scientific exploitation of space- and ground-based astrophysics and planetary science data. These projects bring together scientists and engineers from public institutions and private actors and leverage artificial intelligence and human intelligence to provide collaborative, cloud-enabled thematic science applications focussed for the global space science community. Topics include Gaia science, Lunar exploration, data fusion tools for the JWST MIRI instrument, and machine learning tools for selected use cases in planetary science.

Our goal is to deploy containerised Scientific Applications and similar initiatives for uptake by the space science and astrophysics community to discover and exploit new science products in an open and FAIR approach."
"O11-156","Brigitta Sipőcz","DiRAC Institute, University of Washington","astroquery: a community driven collaboration of data providers and data consumers","astroquery (http://astroquery.readthedocs.io) is an Astropy coordinated package and is already well embedded in and a key component of the astronomical Python ecosystem. astroquery arose from users’ desire to access databases from the Python command line in a scriptable fashion. Script-based data access provides the ability to make reproducible analysis and pipelines in which the data are retrieved and processed into scientifically relevant results with minimal user interaction, thus astroquery enables the creation of fully reproducible workflows from data acquisition through publication. The package currently consists of over 50 modules that provide direct access to the most commonly used databases, archives and services. While most of the modules share a similar API, they are meant to be used independently. 

astroquery has received significant code contributions from throughout the astronomical community, including both the user community and major archives. 
This talk will describe the philosophy, basic structure, and development model of the astroquery package as well a roadmap for future development. We aim to smooth the coordination between maintainers and the observatories even more and hope the talk will be a seed to further discussions."
"O1-124","Stefano Alberto Russo","INAF","A microservice-oriented science platform architecture","A Science Platform (SP) is an environment designed to offer users a smoother experience when interacting with data and computing resources. Usually when referring to a SP, we assume a web based environment based on Jupyter notebooks and software containerisation, however also other approaches or definitions of SP may be feasible (e.g. full interactive desktop access).

In current SP architectures, the software available to the user is usually pre-defined and with little or not control by the users. This means that is almost impossible for a user to run a computing task using a specific analysis software (i.e. a specific version, a specific set of dependencies, or just a software not supported by the SP), and that from an administrative prospective there is a strong overhead in supporting the various (yet limited) software versions. 

We tested several approaches to overcome these limitations and we propose a solution based on changing the prospective and framing user task of the SP as microservices - independent and self-contained units. This enables great flexibility, security and sustainability, and empowers the users to choose, build and run their own software environments, which also improves reproducibility.

We successfully used this architecture in the context of the ESCAPE project, at INAF, where we implemented the computing tasks microservices both as Docker and Singularity containers. The first impressions and user feedback are very promising, in particular for interactive desktop applications for data reduction and analysis."
"O11-35","Francesco Pierfederici","IRAM","Organising ADASS in a Pandemic","ADASS (Astronomical Data Analysis Software & Systems) is a medium-size conference catering astronomers and engineers from all over the world. It is traditionally held every year in the fall in a different country, hosted by an astronomy organisation in that country. Or at least this is what has happened for the past 29 editions.

The 30th edition of the ADASS conference series was supposed to take place in Granada, Spain. We were supposed to bask in the sun enjoying southern Spain food and hospitality. Little did we know that our plans had to change dramatically because of a tiny threat with a long name. The ""severe acute respiratory syndrome coronavirus 2"" has been causing havoc all over the world for a number of months already and has reached pandemic proportions.

It quickly became clear by spring 2020 that our hopes for a quick end to the pandemic were quite naive and that an in-person conference was simply not going to be possible. Not even in November. The ADASS 2020 LOC had to quickly pivot to an online conference format. 

This talk describes in detail all the lessons learned in switching from a relatively advanced traditional conference organisation to an online event. It will hopefully be of use to future organising teams of other online scientific and technical meetings."
